timestamp,date,n_sick,calls,sby_need
2016-04-01,2016-04-01,73,8154.0,4.0
2016-04-02,2016-04-02,64,8526.0,70.0
2016-04-03,2016-04-03,68,8088.0,0.0
2016-04-04,2016-04-04,71,7044.0,0.0
2016-04-05,2016-04-05,63,7236.0,0.0
2016-04-06,2016-04-06,70,6492.0,0.0
2016-04-07,2016-04-07,64,6204.0,0.0
2016-04-08,2016-04-08,62,7614.0,0.0
2016-04-09,2016-04-09,51,5706.0,0.0
2016-04-10,2016-04-10,54,6606.0,0.0
2016-04-11,2016-04-11,50,6822.0,0.0
2016-04-12,2016-04-12,49,6060.0,0.0
2016-04-13,2016-04-13,53,5964.0,0.0
2016-04-14,2016-04-14,52,5928.0,0.0
2016-04-15,2016-04-15,63,7608.0,0.0
2016-04-16,2016-04-16,55,6768.0,0.0
2016-04-17,2016-04-17,51,7242.0,0.0
2016-04-18,2016-04-18,59,6768.0,0.0
2016-04-19,2016-04-19,57,8676.0,93.0
2016-04-20,2016-04-20,53,6270.0,0.0
2016-04-21,2016-04-21,63,7818.0,0.0
2016-04-22,2016-04-22,68,5712.0,0.0
2016-04-23,2016-04-23,62,5166.0,0.0
2016-04-24,2016-04-24,71,4884.0,0.0
2016-04-25,2016-04-25,72,5880.0,0.0
2016-04-26,2016-04-26,65,6576.0,0.0
2016-04-27,2016-04-27,62,7620.0,0.0
2016-04-28,2016-04-28,66,6870.0,0.0
2016-04-29,2016-04-29,64,7554.0,0.0
2016-04-30,2016-04-30,65,5424.0,0.0
2016-05-01,2016-05-01,54,8400.0,34.0
2016-05-02,2016-05-02,63,7782.0,0.0
2016-05-03,2016-05-03,61,7716.0,0.0
2016-05-04,2016-05-04,58,8340.0,26.0
2016-05-05,2016-05-05,57,8064.0,0.0
2016-05-06,2016-05-06,59,7404.0,0.0
2016-05-07,2016-05-07,57,8868.0,131.0
2016-05-08,2016-05-08,61,6504.0,0.0
2016-05-09,2016-05-09,65,7788.0,0.0
2016-05-10,2016-05-10,68,6978.0,0.0
2016-05-11,2016-05-11,61,7512.0,0.0
2016-05-12,2016-05-12,55,7434.0,0.0
2016-05-13,2016-05-13,56,8370.0,30.0
2016-05-14,2016-05-14,50,8136.0,0.0
2016-05-15,2016-05-15,57,7674.0,0.0
2016-05-16,2016-05-16,52,9048.0,162.0
2016-05-17,2016-05-17,53,8550.0,63.0
2016-05-18,2016-05-18,52,8184.0,0.0
2016-05-19,2016-05-19,51,8352.0,22.0
2016-05-20,2016-05-20,57,5790.0,0.0
2016-05-21,2016-05-21,56,8382.0,33.0
2016-05-22,2016-05-22,58,6516.0,0.0
2016-05-23,2016-05-23,57,7824.0,0.0
2016-05-24,2016-05-24,55,6312.0,0.0
2016-05-25,2016-05-25,49,8196.0,0.0
2016-05-26,2016-05-26,46,8124.0,0.0
2016-05-27,2016-05-27,50,6084.0,0.0
2016-05-28,2016-05-28,50,6174.0,0.0
2016-05-29,2016-05-29,52,6984.0,0.0
2016-05-30,2016-05-30,59,8670.0,93.0
2016-05-31,2016-05-31,59,8004.0,0.0
2016-06-01,2016-06-01,64,7656.0,0.0
2016-06-02,2016-06-02,63,8298.0,23.0
2016-06-03,2016-06-03,69,8922.0,154.0
2016-06-04,2016-06-04,67,9426.0,253.0
2016-06-05,2016-06-05,61,8514.0,64.0
2016-06-06,2016-06-06,62,9426.0,248.0
2016-06-07,2016-06-07,53,9414.0,236.0
2016-06-08,2016-06-08,50,7260.0,0.0
2016-06-09,2016-06-09,48,6762.0,0.0
2016-06-10,2016-06-10,53,7230.0,0.0
2016-06-11,2016-06-11,51,7710.0,0.0
2016-06-12,2016-06-12,59,6462.0,0.0
2016-06-13,2016-06-13,66,8790.0,124.0
2016-06-14,2016-06-14,58,8160.0,0.0
2016-06-15,2016-06-15,53,8538.0,61.0
2016-06-16,2016-06-16,55,8094.0,0.0
2016-06-17,2016-06-17,54,6918.0,0.0
2016-06-18,2016-06-18,54,6894.0,0.0
2016-06-19,2016-06-19,56,6840.0,0.0
2016-06-20,2016-06-20,57,8562.0,70.0
2016-06-21,2016-06-21,60,8754.0,111.0
2016-06-22,2016-06-22,61,8058.0,0.0
2016-06-23,2016-06-23,60,8316.0,24.0
2016-06-24,2016-06-24,53,5916.0,0.0
2016-06-25,2016-06-25,45,7272.0,0.0
2016-06-26,2016-06-26,48,7794.0,0.0
2016-06-27,2016-06-27,50,8964.0,143.0
2016-06-28,2016-06-28,44,7788.0,0.0
2016-06-29,2016-06-29,44,6600.0,0.0
2016-06-30,2016-06-30,48,6708.0,0.0
2016-07-01,2016-07-01,41,8742.0,90.0
2016-07-02,2016-07-02,40,7116.0,0.0
2016-07-03,2016-07-03,46,8376.0,22.0
2016-07-04,2016-07-04,50,8526.0,56.0
2016-07-05,2016-07-05,47,8550.0,57.0
2016-07-06,2016-07-06,51,9702.0,292.0
2016-07-07,2016-07-07,60,8442.0,49.0
2016-07-08,2016-07-08,64,9024.0,169.0
2016-07-09,2016-07-09,69,8532.0,76.0
2016-07-10,2016-07-10,70,7374.0,0.0
2016-07-11,2016-07-11,70,9492.0,269.0
2016-07-12,2016-07-12,52,8130.0,0.0
2016-07-13,2016-07-13,48,9012.0,151.0
2016-07-14,2016-07-14,48,9228.0,194.0
2016-07-15,2016-07-15,54,7626.0,0.0
2016-07-16,2016-07-16,58,6234.0,0.0
2016-07-17,2016-07-17,63,5592.0,0.0
2016-07-18,2016-07-18,67,7452.0,0.0
2016-07-19,2016-07-19,62,6744.0,0.0
2016-07-20,2016-07-20,69,6870.0,0.0
2016-07-21,2016-07-21,73,6924.0,0.0
2016-07-22,2016-07-22,67,8844.0,136.0
2016-07-23,2016-07-23,63,6450.0,0.0
2016-07-24,2016-07-24,60,5892.0,0.0
2016-07-25,2016-07-25,62,7368.0,0.0
2016-07-26,2016-07-26,53,7488.0,0.0
2016-07-27,2016-07-27,49,6684.0,0.0
2016-07-28,2016-07-28,51,7062.0,0.0
2016-07-29,2016-07-29,50,6978.0,0.0
2016-07-30,2016-07-30,49,6480.0,0.0
2016-07-31,2016-07-31,51,6210.0,0.0
2016-08-01,2016-08-01,53,10536.0,461.0
2016-08-02,2016-08-02,51,10392.0,430.0
2016-08-03,2016-08-03,49,9516.0,253.0
2016-08-04,2016-08-04,52,9840.0,320.0
2016-08-05,2016-08-05,49,9258.0,201.0
2016-08-06,2016-08-06,44,9006.0,146.0
2016-08-07,2016-08-07,46,5904.0,0.0
2016-08-08,2016-08-08,40,7428.0,0.0
2016-08-09,2016-08-09,37,6840.0,0.0
2016-08-10,2016-08-10,38,7506.0,0.0
2016-08-11,2016-08-11,45,8526.0,51.0
2016-08-12,2016-08-12,43,8256.0,0.0
2016-08-13,2016-08-13,38,6762.0,0.0
2016-08-14,2016-08-14,38,5778.0,0.0
2016-08-15,2016-08-15,42,7404.0,0.0
2016-08-16,2016-08-16,44,7134.0,0.0
2016-08-17,2016-08-17,47,6540.0,0.0
2016-08-18,2016-08-18,46,8670.0,80.0
2016-08-19,2016-08-19,45,8028.0,0.0
2016-08-20,2016-08-20,36,6318.0,0.0
2016-08-21,2016-08-21,44,8214.0,0.0
2016-08-22,2016-08-22,49,6654.0,0.0
2016-08-23,2016-08-23,48,8082.0,0.0
2016-08-24,2016-08-24,49,8430.0,35.0
2016-08-25,2016-08-25,52,7140.0,0.0
2016-08-26,2016-08-26,55,8082.0,0.0
2016-08-27,2016-08-27,48,7626.0,0.0
2016-08-28,2016-08-28,49,6990.0,0.0
2016-08-29,2016-08-29,60,6840.0,0.0
2016-08-30,2016-08-30,59,8592.0,78.0
2016-08-31,2016-08-31,54,8886.0,132.0
2016-09-01,2016-09-01,52,9318.0,216.0
2016-09-02,2016-09-02,61,9366.0,235.0
2016-09-03,2016-09-03,55,7380.0,0.0
2016-09-04,2016-09-04,69,7536.0,0.0
2016-09-05,2016-09-05,73,7548.0,0.0
2016-09-06,2016-09-06,67,7560.0,0.0
2016-09-07,2016-09-07,64,8568.0,78.0
2016-09-08,2016-09-08,67,8748.0,117.0
2016-09-09,2016-09-09,62,6582.0,0.0
2016-09-10,2016-09-10,59,7374.0,0.0
2016-09-11,2016-09-11,68,8202.0,9.0
2016-09-12,2016-09-12,72,6564.0,0.0
2016-09-13,2016-09-13,65,7230.0,0.0
2016-09-14,2016-09-14,68,8514.0,71.0
2016-09-15,2016-09-15,75,8280.0,31.0
2016-09-16,2016-09-16,71,7824.0,0.0
2016-09-17,2016-09-17,74,6660.0,0.0
2016-09-18,2016-09-18,81,6126.0,0.0
2016-09-19,2016-09-19,75,7926.0,0.0
2016-09-20,2016-09-20,72,7362.0,0.0
2016-09-21,2016-09-21,80,8532.0,87.0
2016-09-22,2016-09-22,77,8286.0,35.0
2016-09-23,2016-09-23,76,5808.0,0.0
2016-09-24,2016-09-24,71,7842.0,0.0
2016-09-25,2016-09-25,79,5328.0,0.0
2016-09-26,2016-09-26,80,8550.0,90.0
2016-09-27,2016-09-27,90,7638.0,0.0
2016-09-28,2016-09-28,89,6924.0,0.0
2016-09-29,2016-09-29,89,8172.0,24.0
2016-09-30,2016-09-30,91,8520.0,95.0
2016-10-01,2016-10-01,72,6492.0,0.0
2016-10-02,2016-10-02,77,7872.0,0.0
2016-10-03,2016-10-03,83,8004.0,0.0
2016-10-04,2016-10-04,85,7398.0,0.0
2016-10-05,2016-10-05,83,8136.0,11.0
2016-10-06,2016-10-06,77,7020.0,0.0
2016-10-07,2016-10-07,84,6072.0,0.0
2016-10-08,2016-10-08,77,7176.0,0.0
2016-10-09,2016-10-09,81,7842.0,0.0
2016-10-10,2016-10-10,91,7818.0,0.0
2016-10-11,2016-10-11,80,7908.0,0.0
2016-10-12,2016-10-12,81,6396.0,0.0
2016-10-13,2016-10-13,84,6930.0,0.0
2016-10-14,2016-10-14,90,7728.0,0.0
2016-10-15,2016-10-15,86,6954.0,0.0
2016-10-16,2016-10-16,86,7614.0,0.0
2016-10-17,2016-10-17,90,6666.0,0.0
2016-10-18,2016-10-18,78,7200.0,0.0
2016-10-19,2016-10-19,75,8094.0,0.0
2016-10-20,2016-10-20,73,7440.0,0.0
2016-10-21,2016-10-21,77,6234.0,0.0
2016-10-22,2016-10-22,75,6660.0,0.0
2016-10-23,2016-10-23,70,5004.0,0.0
2016-10-24,2016-10-24,73,8544.0,82.0
2016-10-25,2016-10-25,59,6204.0,0.0
2016-10-26,2016-10-26,57,6108.0,0.0
2016-10-27,2016-10-27,60,6366.0,0.0
2016-10-28,2016-10-28,61,5430.0,0.0
2016-10-29,2016-10-29,50,7980.0,0.0
2016-10-30,2016-10-30,59,5730.0,0.0
2016-10-31,2016-10-31,71,5874.0,0.0
2016-11-01,2016-11-01,65,9600.0,285.0
2016-11-02,2016-11-02,66,6576.0,0.0
2016-11-03,2016-11-03,62,8352.0,33.0
2016-11-04,2016-11-04,62,6984.0,0.0
2016-11-05,2016-11-05,47,5562.0,0.0
2016-11-06,2016-11-06,48,6366.0,0.0
2016-11-07,2016-11-07,57,7098.0,0.0
2016-11-08,2016-11-08,57,6552.0,0.0
2016-11-09,2016-11-09,55,6966.0,0.0
2016-11-10,2016-11-10,55,5730.0,0.0
2016-11-11,2016-11-11,57,7110.0,0.0
2016-11-12,2016-11-12,44,7140.0,0.0
2016-11-13,2016-11-13,48,6072.0,0.0
2016-11-14,2016-11-14,58,7710.0,0.0
2016-11-15,2016-11-15,64,8190.0,2.0
2016-11-16,2016-11-16,61,5598.0,0.0
2016-11-17,2016-11-17,62,6684.0,0.0
2016-11-18,2016-11-18,64,6276.0,0.0
2016-11-19,2016-11-19,59,5820.0,0.0
2016-11-20,2016-11-20,72,5160.0,0.0
2016-11-21,2016-11-21,70,7998.0,0.0
2016-11-22,2016-11-22,67,6852.0,0.0
2016-11-23,2016-11-23,73,8256.0,25.0
2016-11-24,2016-11-24,78,7494.0,0.0
2016-11-25,2016-11-25,76,7722.0,0.0
2016-11-26,2016-11-26,67,6438.0,0.0
2016-11-27,2016-11-27,65,5526.0,0.0
2016-11-28,2016-11-28,62,6558.0,0.0
2016-11-29,2016-11-29,55,6624.0,0.0
2016-11-30,2016-11-30,49,6384.0,0.0
2016-12-01,2016-12-01,43,6450.0,0.0
2016-12-02,2016-12-02,46,8436.0,34.0
2016-12-03,2016-12-03,45,5748.0,0.0
2016-12-04,2016-12-04,51,5532.0,0.0
2016-12-05,2016-12-05,50,7674.0,0.0
2016-12-06,2016-12-06,47,7422.0,0.0
2016-12-07,2016-12-07,55,7086.0,0.0
2016-12-08,2016-12-08,60,6174.0,0.0
2016-12-09,2016-12-09,57,6120.0,0.0
2016-12-10,2016-12-10,56,6942.0,0.0
2016-12-11,2016-12-11,60,7098.0,0.0
2016-12-12,2016-12-12,70,7506.0,0.0
2016-12-13,2016-12-13,68,7116.0,0.0
2016-12-14,2016-12-14,71,5934.0,0.0
2016-12-15,2016-12-15,70,5118.0,0.0
2016-12-16,2016-12-16,62,5802.0,0.0
2016-12-17,2016-12-17,57,6642.0,0.0
2016-12-18,2016-12-18,62,4692.0,0.0
2016-12-19,2016-12-19,61,6798.0,0.0
2016-12-20,2016-12-20,51,6480.0,0.0
2016-12-21,2016-12-21,49,5244.0,0.0
2016-12-22,2016-12-22,49,6000.0,0.0
2016-12-23,2016-12-23,48,5496.0,0.0
2016-12-24,2016-12-24,44,5172.0,0.0
2016-12-25,2016-12-25,50,6030.0,0.0
2016-12-26,2016-12-26,61,6714.0,0.0
2016-12-27,2016-12-27,80,6828.0,0.0
2016-12-28,2016-12-28,91,6096.0,0.0
2016-12-29,2016-12-29,96,7326.0,0.0
2016-12-30,2016-12-30,92,5478.0,0.0
2016-12-31,2016-12-31,66,5754.0,0.0
2017-01-01,2017-01-01,60,6336.0,0.0
2017-01-02,2017-01-02,70,8550.0,0.0
2017-01-03,2017-01-03,74,8238.0,0.0
2017-01-04,2017-01-04,76,7902.0,0.0
2017-01-05,2017-01-05,76,8268.0,0.0
2017-01-06,2017-01-06,71,6054.0,0.0
2017-01-07,2017-01-07,81,7152.0,0.0
2017-01-08,2017-01-08,88,6318.0,0.0
2017-01-09,2017-01-09,89,5418.0,0.0
2017-01-10,2017-01-10,80,5376.0,0.0
2017-01-11,2017-01-11,73,5976.0,0.0
2017-01-12,2017-01-12,55,6414.0,0.0
2017-01-13,2017-01-13,47,5496.0,0.0
2017-01-14,2017-01-14,49,4668.0,0.0
2017-01-15,2017-01-15,53,4074.0,0.0
2017-01-16,2017-01-16,58,6300.0,0.0
2017-01-17,2017-01-17,52,6948.0,0.0
2017-01-18,2017-01-18,50,4920.0,0.0
2017-01-19,2017-01-19,55,4938.0,0.0
2017-01-20,2017-01-20,62,6870.0,0.0
2017-01-21,2017-01-21,58,5592.0,0.0
2017-01-22,2017-01-22,60,6618.0,0.0
2017-01-23,2017-01-23,65,7248.0,0.0
2017-01-24,2017-01-24,63,5400.0,0.0
2017-01-25,2017-01-25,57,4860.0,0.0
2017-01-26,2017-01-26,66,5196.0,0.0
2017-01-27,2017-01-27,73,6330.0,0.0
2017-01-28,2017-01-28,62,5442.0,0.0
2017-01-29,2017-01-29,64,5742.0,0.0
2017-01-30,2017-01-30,67,7212.0,0.0
2017-01-31,2017-01-31,56,5904.0,0.0
2017-02-01,2017-02-01,48,6786.0,0.0
2017-02-02,2017-02-02,50,8844.0,19.0
2017-02-03,2017-02-03,54,7494.0,0.0
2017-02-04,2017-02-04,44,6666.0,0.0
2017-02-05,2017-02-05,48,5898.0,0.0
2017-02-06,2017-02-06,58,8844.0,27.0
2017-02-07,2017-02-07,60,6798.0,0.0
2017-02-08,2017-02-08,65,8664.0,0.0
2017-02-09,2017-02-09,60,6204.0,0.0
2017-02-10,2017-02-10,66,7032.0,0.0
2017-02-11,2017-02-11,62,7638.0,0.0
2017-02-12,2017-02-12,58,7398.0,0.0
2017-02-13,2017-02-13,62,5724.0,0.0
2017-02-14,2017-02-14,56,6816.0,0.0
2017-02-15,2017-02-15,60,5868.0,0.0
2017-02-16,2017-02-16,67,7812.0,0.0
2017-02-17,2017-02-17,63,7272.0,0.0
2017-02-18,2017-02-18,52,7464.0,0.0
2017-02-19,2017-02-19,54,5268.0,0.0
2017-02-20,2017-02-20,57,5814.0,0.0
2017-02-21,2017-02-21,58,5820.0,0.0
2017-02-22,2017-02-22,60,7056.0,0.0
2017-02-23,2017-02-23,58,8088.0,0.0
2017-02-24,2017-02-24,64,6696.0,0.0
2017-02-25,2017-02-25,57,5388.0,0.0
2017-02-26,2017-02-26,57,5994.0,0.0
2017-02-27,2017-02-27,58,6822.0,0.0
2017-02-28,2017-02-28,55,7338.0,0.0
2017-03-01,2017-03-01,53,10074.0,268.0
2017-03-02,2017-03-02,54,9246.0,104.0
2017-03-03,2017-03-03,50,8616.0,0.0
2017-03-04,2017-03-04,47,6636.0,0.0
2017-03-05,2017-03-05,58,6288.0,0.0
2017-03-06,2017-03-06,61,8670.0,0.0
2017-03-07,2017-03-07,56,6948.0,0.0
2017-03-08,2017-03-08,52,8700.0,0.0
2017-03-09,2017-03-09,55,9030.0,61.0
2017-03-10,2017-03-10,61,8166.0,0.0
2017-03-11,2017-03-11,57,7548.0,0.0
2017-03-12,2017-03-12,61,6564.0,0.0
2017-03-13,2017-03-13,66,6174.0,0.0
2017-03-14,2017-03-14,57,7188.0,0.0
2017-03-15,2017-03-15,60,7686.0,0.0
2017-03-16,2017-03-16,61,6942.0,0.0
2017-03-17,2017-03-17,60,5724.0,0.0
2017-03-18,2017-03-18,54,7620.0,0.0
2017-03-19,2017-03-19,58,6066.0,0.0
2017-03-20,2017-03-20,59,6486.0,0.0
2017-03-21,2017-03-21,58,8352.0,0.0
2017-03-22,2017-03-22,57,8412.0,0.0
2017-03-23,2017-03-23,56,7170.0,0.0
2017-03-24,2017-03-24,53,6918.0,0.0
2017-03-25,2017-03-25,48,6636.0,0.0
2017-03-26,2017-03-26,48,6756.0,0.0
2017-03-27,2017-03-27,56,8856.0,28.0
2017-03-28,2017-03-28,56,8688.0,0.0
2017-03-29,2017-03-29,59,8112.0,0.0
2017-03-30,2017-03-30,58,7728.0,0.0
2017-03-31,2017-03-31,58,8394.0,0.0
2017-04-01,2017-04-01,45,9774.0,200.0
2017-04-02,2017-04-02,45,6630.0,0.0
2017-04-03,2017-04-03,49,10170.0,283.0
2017-04-04,2017-04-04,52,9324.0,117.0
2017-04-05,2017-04-05,48,7770.0,0.0
2017-04-06,2017-04-06,43,7284.0,0.0
2017-04-07,2017-04-07,38,8970.0,32.0
2017-04-08,2017-04-08,44,8844.0,13.0
2017-04-09,2017-04-09,41,6084.0,0.0
2017-04-10,2017-04-10,45,9300.0,105.0
2017-04-11,2017-04-11,46,7962.0,0.0
2017-04-12,2017-04-12,46,8466.0,0.0
2017-04-13,2017-04-13,55,6360.0,0.0
2017-04-14,2017-04-14,53,8220.0,0.0
2017-04-15,2017-04-15,53,6876.0,0.0
2017-04-16,2017-04-16,54,7086.0,0.0
2017-04-17,2017-04-17,59,9048.0,69.0
2017-04-18,2017-04-18,60,7932.0,0.0
2017-04-19,2017-04-19,67,8574.0,0.0
2017-04-20,2017-04-20,72,8016.0,0.0
